benchmark,Kissat_MAB_CoRephase,,,,,Kissat-MAB-rephasing,,,
,arm1(BWO),arm2(BWI),arm3(BWC),arm4(BWF),,arm1(B),arm2(I),arm3(O),arm4(W)
4ffb80a0ad8b753fee1492101ffcbdbb-REGRandom-K4-L1-Seed5.cnf,52,52,52,52,,50,52,50,56
524848d379582b63060ed43d3729b9f3-satcoin-genesis-UNSAT-19500.cnf,4,5,4,4,,11,12,11,11
52be8740aab896317320cd44a5d2af2f-intervals753.cnf,42,43,41,42,,38,53,52,41
53799aafcd0c684a2adc79400bd35f82-satcoin-genesis-UNSAT-5920.cnf,5,6,5,5,,10,11,11,12
5437ba8972228ea5531a69a9aa064acc-satcoin-genesis-UNSAT-19800.cnf,4,4,4,4,,12,12,12,11
54ab5a53d2fdfcda16ec74768b29f901-rphp_p30_r30.cnf,38,37,40,39,,5,151,5,5
558113ad4d50130351db8c426230a50f-asconhashv12_opt64_H9_M2-wNfQskE8G_m1_6_U0.c.cnf,8,8,9,14,,3,3,46,3
558ce551d2b933b7a5f1c7d2a6044930-collections_namedtuple_15.cnf,49,36,36,36,,50,90,18,29
571a2f223784fb92a53b4cc8cc8b569e-clqcolor-08-06-07.shuffled-as.sat05-1257.cnf,1,1,1,1,,2,5,3,3
578b5e6a2f0b295168cb6c5420810a72-php18-mixed-35percent-blocked.cnf,15,12,12,13,,11,40,9,13
578f9377bfbfcc6ea3a18eb630667956-ferry8_ks99i.renamed-as.sat05-4005.cnf,1,0,0,0,,2,1,1,1
57c305967b30c503da1737258e6cc7e5-6s20-sc2013.cnf,6,6,6,7,,9,11,9,10
587150fb7b12a6b5dd7e4a9446b9713b-iso-ukn004.shuffled-as.sat05-3385.cnf,1,0,0,0,,1,0,0,0
5918f1624d4dfd964227356786a4e9ec-ContextModel_output_8_4_9.bul.dimacs.cnf,17,17,17,16,,21,25,22,22
5a72cb588bcda7b1b54a1eac6b19ab2e-hash_table_find_safety_size_23.cnf,1,1,0,0,,2,2,1,1
5b3d8a4465726adfcb58b9cdb1cc33f1-intervals222.cnf,43,42,41,41,,34,50,48,42
5dc5185101e1d439d14f0a04acfa9bfb-28_2.cnf,15,15,15,15,,18,17,22,27
5f6861053fb4ed4fc0b997cd6b505ef4-tseitin_d3_n110000.cnf,32,31,32,31,,34,34,34,34
62c763bdf8d351b15df3a4d62a03eba0-g2-ak128astepbg2asisc.cnf,3,3,2,2,,3,4,3,3
63159b6b10c3d6832bd5944e05d78b11-SCPC-700-80.cnf,5,4,5,4,,11,26,6,12
644fd765d26bd4a380922ccd0f594c58-mchess18-mixed-25percent-blocked.cnf,13,13,13,13,,17,22,21,18
6549f23728c52d5319f30371ff709622-hash_table_find_safety_size_27.cnf,1,1,0,0,,2,2,2,1
65b1e2253626af4a72b954f8186a5880-hash_table_find_safety_size_10.cnf,1,0,0,0,,2,1,1,1
670a24d73dbadd3073e9604c6ef903d1-tseitin_grid_n260_m260.cnf,50,49,50,49,,46,46,46,46
67904554c73addf89fe675bd8e494641-intervals327.cnf,43,43,41,40,,32,47,44,48
67a5b7ccde980b37576b993c79e176b0-hash_table_find_safety_size_22.cnf,1,1,0,0,,2,1,1,2
685d37e93ba26197925353e58026ae10-hash_table_find_safety_size_12.cnf,1,0,0,0,,2,1,1,1
68649ac2830edad5d0dc7e3d13935132-SCPC-800-46.cnf,13,8,10,10,,12,21,8,18
6aacae96461cb65176942b6dc88ea470-mchess20-mixed-25percent-blocked.cnf,31,29,29,29,,34,36,33,33
6b2ccabf0304af478a558b8a333ced32-grs-192-256.cnf,7,7,7,7,,10,11,11,10
6bb485770dbc3943ea84933a03131958-satcoin-genesis-UNSAT-18600.cnf,4,4,4,4,,11,12,12,12
6d67f76f114db9801952ed155e745e16-23_2.cnf,18,19,17,17,,14,24,30,28
6dca14e1af1795565d1e502ddc7d376b-hash_table_find_safety_size_15.cnf,1,0,0,0,,2,1,1,1
6e31e88a5dadaa3876eb5ff4293134c2-hash_table_find_safety_size_21.cnf,1,1,0,0,,2,2,1,1
6e5efd19744842d1fa5415173bffbf6b-tseitin_d3_n180000.cnf,27,26,27,27,,30,31,31,30
6e9cae5108bd423666c73aaace197769-brent_51_0.28.cnf,3,4,4,4,,3,6,4,4
705f6075b27775e03daf6e8d781cb953-shift1add.28943.cnf,1,1,0,0,,2,2,1,1
70af2c3bfd44bcf9baa2a9605f4a17fe-gensys-icl002.shuffled-as.sat05-2714.cnf,1,1,2,2,,3,3,3,3
70ce0cff914efdc48f2a8fe86b5c68c6-TableModel_output_8_4_7.bul_.dimacs.cnf,5,5,6,6,,4,141,4,7
711ff7681711949f44b07a0d530dc729-asconhashv12_opt64_H12_M2-CxLJidFX21oI_m3_6_U2.c.cnf,2,2,5,5,,2,7,3,34
71270454196ae092b28d0a74300a85e1-Schur_161_5_d40.cnf,13,13,14,13,,14,19,17,17
71758ed7637888d4fd4593ec820677bc-SCPC-800-42.cnf,3,2,2,2,,4,17,3,7
71bca76153c6ee65b72a517fd658a42d-iso-brn100.shuffled-as.sat05-3025.cnf,1,0,0,0,,1,0,0,0
71cf538aa0751d27f144de9c8d82e458-TableModel_output_8_3_10.bul_.dimacs.cnf,37,33,39,36,,3,161,3,3
71dbf7ab78ef93c3d491c67752f03fd1-hwmcc10-timeframe-expansion-k45-nusmvguidancep9-tseitin.cnf,1,0,0,0,,2,1,1,1
727cd7c528ac106f134cc882c9202108-15pipe_q0_k.cnf,18,18,18,18,,23,23,24,25
72b5ad031bf852634bc081f9da9a5a60-GzipFile_close_11.cnf,30,18,20,18,,17,47,9,22
73063c6257a4ffc29f5bea7028403a64-mod2c-rand3bip-sat-250-2.shuffled-as.sat05-2534.cnf,2,3,3,5,,2,16,4,5
74931e82fd208ed949fa44bccd80df6b-DivS_862_11.cnf.sanitized.cnf,2,2,3,3,,5,6,5,5
751402d0738e5622b599c651283cb48a-SCPC-800-43.cnf,3,3,3,3,,5,10,4,9
751afd7ddf8f242ed7bd93517ba82149-mchess20-mixed-45percent-blocked.cnf,31,32,31,32,,32,33,32,35
758f9ed67b4d2068c209157335e07266-or_randxor_k3_n640_m640.cnf,22,21,23,21,,29,35,32,32
78d23f235b63b1b7f08eb1b6cfb03f34-29_1.cnf,14,14,15,14,,16,24,19,23
79391ed5a7f19b947cefe7af1178146a-21_1.cnf,14,15,14,14,,21,26,22,32
79c109a8c1da53c6b636d3835f11a19d-grs-64-32.cnf,2,3,3,2,,5,6,5,6
